Issue Type,Issue Key,Summary,Epic Link,Description,Acceptance Criteria,Priority
Story,SOD-US-1119,Boss phase framework story 10,SOD-EP03,"As a player/team, I want boss phase framework to be reliable in scenario 10, so that co-op quality remains high.","Given scenario 10, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1120,Dual-shield enemy behavior story 1,SOD-EP04,"As a player/team, I want dual-shield enemy behavior to be reliable in scenario 1, so that co-op quality remains high.","Given scenario 1, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1121,Dual-shield enemy behavior story 2,SOD-EP04,"As a player/team, I want dual-shield enemy behavior to be reliable in scenario 2, so that co-op quality remains high.","Given scenario 2, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1122,Dual-shield enemy behavior story 3,SOD-EP04,"As a player/team, I want dual-shield enemy behavior to be reliable in scenario 3, so that co-op quality remains high.","Given scenario 3, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1123,Dual-shield enemy behavior story 4,SOD-EP04,"As a player/team, I want dual-shield enemy behavior to be reliable in scenario 4, so that co-op quality remains high.","Given scenario 4, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1124,Dual-shield enemy behavior story 5,SOD-EP04,"As a player/team, I want dual-shield enemy behavior to be reliable in scenario 5, so that co-op quality remains high.","Given scenario 5, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1125,Dual-shield enemy behavior story 6,SOD-EP04,"As a player/team, I want dual-shield enemy behavior to be reliable in scenario 6, so that co-op quality remains high.","Given scenario 6, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1126,Dual-shield enemy behavior story 7,SOD-EP04,"As a player/team, I want dual-shield enemy behavior to be reliable in scenario 7, so that co-op quality remains high.","Given scenario 7, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1127,Dual-shield enemy behavior story 8,SOD-EP04,"As a player/team, I want dual-shield enemy behavior to be reliable in scenario 8, so that co-op quality remains high.","Given scenario 8, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1128,Dual-shield enemy behavior story 9,SOD-EP04,"As a player/team, I want dual-shield enemy behavior to be reliable in scenario 9, so that co-op quality remains high.","Given scenario 9, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1129,Dual-shield enemy behavior story 10,SOD-EP04,"As a player/team, I want dual-shield enemy behavior to be reliable in scenario 10, so that co-op quality remains high.","Given scenario 10, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1130,Co-op finisher sync story 1,SOD-EP04,"As a player/team, I want co-op finisher sync to be reliable in scenario 1, so that co-op quality remains high.","Given scenario 1, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1131,Co-op finisher sync story 2,SOD-EP04,"As a player/team, I want co-op finisher sync to be reliable in scenario 2, so that co-op quality remains high.","Given scenario 2, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1132,Co-op finisher sync story 3,SOD-EP04,"As a player/team, I want co-op finisher sync to be reliable in scenario 3, so that co-op quality remains high.","Given scenario 3, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1133,Co-op finisher sync story 4,SOD-EP04,"As a player/team, I want co-op finisher sync to be reliable in scenario 4, so that co-op quality remains high.","Given scenario 4, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1134,Co-op finisher sync story 5,SOD-EP04,"As a player/team, I want co-op finisher sync to be reliable in scenario 5, so that co-op quality remains high.","Given scenario 5, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1135,Co-op finisher sync story 6,SOD-EP04,"As a player/team, I want co-op finisher sync to be reliable in scenario 6, so that co-op quality remains high.","Given scenario 6, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1136,Co-op finisher sync story 7,SOD-EP04,"As a player/team, I want co-op finisher sync to be reliable in scenario 7, so that co-op quality remains high.","Given scenario 7, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1137,Co-op finisher sync story 8,SOD-EP04,"As a player/team, I want co-op finisher sync to be reliable in scenario 8, so that co-op quality remains high.","Given scenario 8, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1138,Co-op finisher sync story 9,SOD-EP04,"As a player/team, I want co-op finisher sync to be reliable in scenario 9, so that co-op quality remains high.","Given scenario 9, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1139,Co-op finisher sync story 10,SOD-EP04,"As a player/team, I want co-op finisher sync to be reliable in scenario 10, so that co-op quality remains high.","Given scenario 10, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1140,Boss ferryman tuning story 1,SOD-EP04,"As a player/team, I want boss ferryman tuning to be reliable in scenario 1, so that co-op quality remains high.","Given scenario 1, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1141,Boss ferryman tuning story 2,SOD-EP04,"As a player/team, I want boss ferryman tuning to be reliable in scenario 2, so that co-op quality remains high.","Given scenario 2, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1142,Boss ferryman tuning story 3,SOD-EP04,"As a player/team, I want boss ferryman tuning to be reliable in scenario 3, so that co-op quality remains high.","Given scenario 3, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1143,Boss ferryman tuning story 4,SOD-EP04,"As a player/team, I want boss ferryman tuning to be reliable in scenario 4, so that co-op quality remains high.","Given scenario 4, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1144,Boss ferryman tuning story 5,SOD-EP04,"As a player/team, I want boss ferryman tuning to be reliable in scenario 5, so that co-op quality remains high.","Given scenario 5, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1145,Boss ferryman tuning story 6,SOD-EP04,"As a player/team, I want boss ferryman tuning to be reliable in scenario 6, so that co-op quality remains high.","Given scenario 6, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1146,Boss ferryman tuning story 7,SOD-EP04,"As a player/team, I want boss ferryman tuning to be reliable in scenario 7, so that co-op quality remains high.","Given scenario 7, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1147,Boss ferryman tuning story 8,SOD-EP04,"As a player/team, I want boss ferryman tuning to be reliable in scenario 8, so that co-op quality remains high.","Given scenario 8, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1148,Boss ferryman tuning story 9,SOD-EP04,"As a player/team, I want boss ferryman tuning to be reliable in scenario 9, so that co-op quality remains high.","Given scenario 9, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1149,Boss ferryman tuning story 10,SOD-EP04,"As a player/team, I want boss ferryman tuning to be reliable in scenario 10, so that co-op quality remains high.","Given scenario 10, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1150,AI BT and EQS tuning story 1,SOD-EP04,"As a player/team, I want ai bt and eqs tuning to be reliable in scenario 1, so that co-op quality remains high.","Given scenario 1, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1151,AI BT and EQS tuning story 2,SOD-EP04,"As a player/team, I want ai bt and eqs tuning to be reliable in scenario 2, so that co-op quality remains high.","Given scenario 2, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1152,AI BT and EQS tuning story 3,SOD-EP04,"As a player/team, I want ai bt and eqs tuning to be reliable in scenario 3, so that co-op quality remains high.","Given scenario 3, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1153,AI BT and EQS tuning story 4,SOD-EP04,"As a player/team, I want ai bt and eqs tuning to be reliable in scenario 4, so that co-op quality remains high.","Given scenario 4, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1154,AI BT and EQS tuning story 5,SOD-EP04,"As a player/team, I want ai bt and eqs tuning to be reliable in scenario 5, so that co-op quality remains high.","Given scenario 5, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1155,AI BT and EQS tuning story 6,SOD-EP04,"As a player/team, I want ai bt and eqs tuning to be reliable in scenario 6, so that co-op quality remains high.","Given scenario 6, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1156,AI BT and EQS tuning story 7,SOD-EP04,"As a player/team, I want ai bt and eqs tuning to be reliable in scenario 7, so that co-op quality remains high.","Given scenario 7, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1157,AI BT and EQS tuning story 8,SOD-EP04,"As a player/team, I want ai bt and eqs tuning to be reliable in scenario 8, so that co-op quality remains high.","Given scenario 8, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1158,AI BT and EQS tuning story 9,SOD-EP04,"As a player/team, I want ai bt and eqs tuning to be reliable in scenario 9, so that co-op quality remains high.","Given scenario 9, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1159,AI BT and EQS tuning story 10,SOD-EP04,"As a player/team, I want ai bt and eqs tuning to be reliable in scenario 10, so that co-op quality remains high.","Given scenario 10, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1160,Dialogue trigger graph story 1,SOD-EP05,"As a player/team, I want dialogue trigger graph to be reliable in scenario 1, so that co-op quality remains high.","Given scenario 1, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1161,Dialogue trigger graph story 2,SOD-EP05,"As a player/team, I want dialogue trigger graph to be reliable in scenario 2, so that co-op quality remains high.","Given scenario 2, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1162,Dialogue trigger graph story 3,SOD-EP05,"As a player/team, I want dialogue trigger graph to be reliable in scenario 3, so that co-op quality remains high.","Given scenario 3, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1163,Dialogue trigger graph story 4,SOD-EP05,"As a player/team, I want dialogue trigger graph to be reliable in scenario 4, so that co-op quality remains high.","Given scenario 4, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1164,Dialogue trigger graph story 5,SOD-EP05,"As a player/team, I want dialogue trigger graph to be reliable in scenario 5, so that co-op quality remains high.","Given scenario 5, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1165,Dialogue trigger graph story 6,SOD-EP05,"As a player/team, I want dialogue trigger graph to be reliable in scenario 6, so that co-op quality remains high.","Given scenario 6, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1166,Dialogue trigger graph story 7,SOD-EP05,"As a player/team, I want dialogue trigger graph to be reliable in scenario 7, so that co-op quality remains high.","Given scenario 7, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1167,Dialogue trigger graph story 8,SOD-EP05,"As a player/team, I want dialogue trigger graph to be reliable in scenario 8, so that co-op quality remains high.","Given scenario 8, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1168,Dialogue trigger graph story 9,SOD-EP05,"As a player/team, I want dialogue trigger graph to be reliable in scenario 9, so that co-op quality remains high.","Given scenario 9, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1169,Dialogue trigger graph story 10,SOD-EP05,"As a player/team, I want dialogue trigger graph to be reliable in scenario 10, so that co-op quality remains high.","Given scenario 10, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1170,Cinematic handoff transitions story 1,SOD-EP05,"As a player/team, I want cinematic handoff transitions to be reliable in scenario 1, so that co-op quality remains high.","Given scenario 1, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1171,Cinematic handoff transitions story 2,SOD-EP05,"As a player/team, I want cinematic handoff transitions to be reliable in scenario 2, so that co-op quality remains high.","Given scenario 2, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1172,Cinematic handoff transitions story 3,SOD-EP05,"As a player/team, I want cinematic handoff transitions to be reliable in scenario 3, so that co-op quality remains high.","Given scenario 3, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1173,Cinematic handoff transitions story 4,SOD-EP05,"As a player/team, I want cinematic handoff transitions to be reliable in scenario 4, so that co-op quality remains high.","Given scenario 4, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1174,Cinematic handoff transitions story 5,SOD-EP05,"As a player/team, I want cinematic handoff transitions to be reliable in scenario 5, so that co-op quality remains high.","Given scenario 5, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1175,Cinematic handoff transitions story 6,SOD-EP05,"As a player/team, I want cinematic handoff transitions to be reliable in scenario 6, so that co-op quality remains high.","Given scenario 6, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1176,Cinematic handoff transitions story 7,SOD-EP05,"As a player/team, I want cinematic handoff transitions to be reliable in scenario 7, so that co-op quality remains high.","Given scenario 7, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1177,Cinematic handoff transitions story 8,SOD-EP05,"As a player/team, I want cinematic handoff transitions to be reliable in scenario 8, so that co-op quality remains high.","Given scenario 8, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1178,Cinematic handoff transitions story 9,SOD-EP05,"As a player/team, I want cinematic handoff transitions to be reliable in scenario 9, so that co-op quality remains high.","Given scenario 9, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1179,Cinematic handoff transitions story 10,SOD-EP05,"As a player/team, I want cinematic handoff transitions to be reliable in scenario 10, so that co-op quality remains high.","Given scenario 10, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1180,Memory fragment progression story 1,SOD-EP05,"As a player/team, I want memory fragment progression to be reliable in scenario 1, so that co-op quality remains high.","Given scenario 1, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1181,Memory fragment progression story 2,SOD-EP05,"As a player/team, I want memory fragment progression to be reliable in scenario 2, so that co-op quality remains high.","Given scenario 2, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1182,Memory fragment progression story 3,SOD-EP05,"As a player/team, I want memory fragment progression to be reliable in scenario 3, so that co-op quality remains high.","Given scenario 3, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1183,Memory fragment progression story 4,SOD-EP05,"As a player/team, I want memory fragment progression to be reliable in scenario 4, so that co-op quality remains high.","Given scenario 4, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1184,Memory fragment progression story 5,SOD-EP05,"As a player/team, I want memory fragment progression to be reliable in scenario 5, so that co-op quality remains high.","Given scenario 5, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1185,Memory fragment progression story 6,SOD-EP05,"As a player/team, I want memory fragment progression to be reliable in scenario 6, so that co-op quality remains high.","Given scenario 6, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1186,Memory fragment progression story 7,SOD-EP05,"As a player/team, I want memory fragment progression to be reliable in scenario 7, so that co-op quality remains high.","Given scenario 7, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1187,Memory fragment progression story 8,SOD-EP05,"As a player/team, I want memory fragment progression to be reliable in scenario 8, so that co-op quality remains high.","Given scenario 8, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1188,Memory fragment progression story 9,SOD-EP05,"As a player/team, I want memory fragment progression to be reliable in scenario 9, so that co-op quality remains high.","Given scenario 9, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1189,Memory fragment progression story 10,SOD-EP05,"As a player/team, I want memory fragment progression to be reliable in scenario 10, so that co-op quality remains high.","Given scenario 10, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1190,Localization and subtitles story 1,SOD-EP05,"As a player/team, I want localization and subtitles to be reliable in scenario 1, so that co-op quality remains high.","Given scenario 1, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1191,Localization and subtitles story 2,SOD-EP05,"As a player/team, I want localization and subtitles to be reliable in scenario 2, so that co-op quality remains high.","Given scenario 2, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1192,Localization and subtitles story 3,SOD-EP05,"As a player/team, I want localization and subtitles to be reliable in scenario 3, so that co-op quality remains high.","Given scenario 3, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1193,Localization and subtitles story 4,SOD-EP05,"As a player/team, I want localization and subtitles to be reliable in scenario 4, so that co-op quality remains high.","Given scenario 4, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1194,Localization and subtitles story 5,SOD-EP05,"As a player/team, I want localization and subtitles to be reliable in scenario 5, so that co-op quality remains high.","Given scenario 5, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1195,Localization and subtitles story 6,SOD-EP05,"As a player/team, I want localization and subtitles to be reliable in scenario 6, so that co-op quality remains high.","Given scenario 6, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1196,Localization and subtitles story 7,SOD-EP05,"As a player/team, I want localization and subtitles to be reliable in scenario 7, so that co-op quality remains high.","Given scenario 7, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1197,Localization and subtitles story 8,SOD-EP05,"As a player/team, I want localization and subtitles to be reliable in scenario 8, so that co-op quality remains high.","Given scenario 8, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1198,Localization and subtitles story 9,SOD-EP05,"As a player/team, I want localization and subtitles to be reliable in scenario 9, so that co-op quality remains high.","Given scenario 9, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1199,Localization and subtitles story 10,SOD-EP05,"As a player/team, I want localization and subtitles to be reliable in scenario 10, so that co-op quality remains high.","Given scenario 10, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1200,Chapter art packages story 1,SOD-EP06,"As a player/team, I want chapter art packages to be reliable in scenario 1, so that co-op quality remains high.","Given scenario 1, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1201,Chapter art packages story 2,SOD-EP06,"As a player/team, I want chapter art packages to be reliable in scenario 2, so that co-op quality remains high.","Given scenario 2, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1202,Chapter art packages story 3,SOD-EP06,"As a player/team, I want chapter art packages to be reliable in scenario 3, so that co-op quality remains high.","Given scenario 3, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1203,Chapter art packages story 4,SOD-EP06,"As a player/team, I want chapter art packages to be reliable in scenario 4, so that co-op quality remains high.","Given scenario 4, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1204,Chapter art packages story 5,SOD-EP06,"As a player/team, I want chapter art packages to be reliable in scenario 5, so that co-op quality remains high.","Given scenario 5, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1205,Chapter art packages story 6,SOD-EP06,"As a player/team, I want chapter art packages to be reliable in scenario 6, so that co-op quality remains high.","Given scenario 6, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1206,Chapter art packages story 7,SOD-EP06,"As a player/team, I want chapter art packages to be reliable in scenario 7, so that co-op quality remains high.","Given scenario 7, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1207,Chapter art packages story 8,SOD-EP06,"As a player/team, I want chapter art packages to be reliable in scenario 8, so that co-op quality remains high.","Given scenario 8, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1208,Chapter art packages story 9,SOD-EP06,"As a player/team, I want chapter art packages to be reliable in scenario 9, so that co-op quality remains high.","Given scenario 9, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1209,Chapter art packages story 10,SOD-EP06,"As a player/team, I want chapter art packages to be reliable in scenario 10, so that co-op quality remains high.","Given scenario 10, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1210,Adaptive music system story 1,SOD-EP06,"As a player/team, I want adaptive music system to be reliable in scenario 1, so that co-op quality remains high.","Given scenario 1, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1211,Adaptive music system story 2,SOD-EP06,"As a player/team, I want adaptive music system to be reliable in scenario 2, so that co-op quality remains high.","Given scenario 2, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1212,Adaptive music system story 3,SOD-EP06,"As a player/team, I want adaptive music system to be reliable in scenario 3, so that co-op quality remains high.","Given scenario 3, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1213,Adaptive music system story 4,SOD-EP06,"As a player/team, I want adaptive music system to be reliable in scenario 4, so that co-op quality remains high.","Given scenario 4, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1214,Adaptive music system story 5,SOD-EP06,"As a player/team, I want adaptive music system to be reliable in scenario 5, so that co-op quality remains high.","Given scenario 5, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1215,Adaptive music system story 6,SOD-EP06,"As a player/team, I want adaptive music system to be reliable in scenario 6, so that co-op quality remains high.","Given scenario 6, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1216,Adaptive music system story 7,SOD-EP06,"As a player/team, I want adaptive music system to be reliable in scenario 7, so that co-op quality remains high.","Given scenario 7, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1217,Adaptive music system story 8,SOD-EP06,"As a player/team, I want adaptive music system to be reliable in scenario 8, so that co-op quality remains high.","Given scenario 8, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1218,Adaptive music system story 9,SOD-EP06,"As a player/team, I want adaptive music system to be reliable in scenario 9, so that co-op quality remains high.","Given scenario 9, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1219,Adaptive music system story 10,SOD-EP06,"As a player/team, I want adaptive music system to be reliable in scenario 10, so that co-op quality remains high.","Given scenario 10, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1220,SFX clarity pass story 1,SOD-EP06,"As a player/team, I want sfx clarity pass to be reliable in scenario 1, so that co-op quality remains high.","Given scenario 1, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1221,SFX clarity pass story 2,SOD-EP06,"As a player/team, I want sfx clarity pass to be reliable in scenario 2, so that co-op quality remains high.","Given scenario 2, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1222,SFX clarity pass story 3,SOD-EP06,"As a player/team, I want sfx clarity pass to be reliable in scenario 3, so that co-op quality remains high.","Given scenario 3, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1223,SFX clarity pass story 4,SOD-EP06,"As a player/team, I want sfx clarity pass to be reliable in scenario 4, so that co-op quality remains high.","Given scenario 4, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1224,SFX clarity pass story 5,SOD-EP06,"As a player/team, I want sfx clarity pass to be reliable in scenario 5, so that co-op quality remains high.","Given scenario 5, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1225,SFX clarity pass story 6,SOD-EP06,"As a player/team, I want sfx clarity pass to be reliable in scenario 6, so that co-op quality remains high.","Given scenario 6, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1226,SFX clarity pass story 7,SOD-EP06,"As a player/team, I want sfx clarity pass to be reliable in scenario 7, so that co-op quality remains high.","Given scenario 7, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1227,SFX clarity pass story 8,SOD-EP06,"As a player/team, I want sfx clarity pass to be reliable in scenario 8, so that co-op quality remains high.","Given scenario 8, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1228,SFX clarity pass story 9,SOD-EP06,"As a player/team, I want sfx clarity pass to be reliable in scenario 9, so that co-op quality remains high.","Given scenario 9, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1229,SFX clarity pass story 10,SOD-EP06,"As a player/team, I want sfx clarity pass to be reliable in scenario 10, so that co-op quality remains high.","Given scenario 10, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1230,Performance/cert polish story 1,SOD-EP06,"As a player/team, I want performance/cert polish to be reliable in scenario 1, so that co-op quality remains high.","Given scenario 1, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1231,Performance/cert polish story 2,SOD-EP06,"As a player/team, I want performance/cert polish to be reliable in scenario 2, so that co-op quality remains high.","Given scenario 2, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1232,Performance/cert polish story 3,SOD-EP06,"As a player/team, I want performance/cert polish to be reliable in scenario 3, so that co-op quality remains high.","Given scenario 3, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1233,Performance/cert polish story 4,SOD-EP06,"As a player/team, I want performance/cert polish to be reliable in scenario 4, so that co-op quality remains high.","Given scenario 4, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1234,Performance/cert polish story 5,SOD-EP06,"As a player/team, I want performance/cert polish to be reliable in scenario 5, so that co-op quality remains high.","Given scenario 5, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1235,Performance/cert polish story 6,SOD-EP06,"As a player/team, I want performance/cert polish to be reliable in scenario 6, so that co-op quality remains high.","Given scenario 6, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1236,Performance/cert polish story 7,SOD-EP06,"As a player/team, I want performance/cert polish to be reliable in scenario 7, so that co-op quality remains high.","Given scenario 7, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1237,Performance/cert polish story 8,SOD-EP06,"As a player/team, I want performance/cert polish to be reliable in scenario 8, so that co-op quality remains high.","Given scenario 8, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1238,Performance/cert polish story 9,SOD-EP06,"As a player/team, I want performance/cert polish to be reliable in scenario 9, so that co-op quality remains high.","Given scenario 9, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1239,Performance/cert polish story 10,SOD-EP06,"As a player/team, I want performance/cert polish to be reliable in scenario 10, so that co-op quality remains high.","Given scenario 10, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
