Issue Type,Issue Key,Summary,Epic Link,Description,Acceptance Criteria,Priority
Story,SOD-US-2113,Late-game puzzle complexity story 4,SOD-EP03,"As a player/team, I want late-game puzzle complexity validated in production scenario 4, so quality remains release-grade.","Given production scenario 4, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2114,Late-game puzzle complexity story 5,SOD-EP03,"As a player/team, I want late-game puzzle complexity validated in production scenario 5, so quality remains release-grade.","Given production scenario 5, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2115,Late-game puzzle complexity story 6,SOD-EP03,"As a player/team, I want late-game puzzle complexity validated in production scenario 6, so quality remains release-grade.","Given production scenario 6, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2116,Late-game puzzle complexity story 7,SOD-EP03,"As a player/team, I want late-game puzzle complexity validated in production scenario 7, so quality remains release-grade.","Given production scenario 7, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2117,Late-game puzzle complexity story 8,SOD-EP03,"As a player/team, I want late-game puzzle complexity validated in production scenario 8, so quality remains release-grade.","Given production scenario 8, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2118,Late-game puzzle complexity story 9,SOD-EP03,"As a player/team, I want late-game puzzle complexity validated in production scenario 9, so quality remains release-grade.","Given production scenario 9, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2119,Late-game puzzle complexity story 10,SOD-EP03,"As a player/team, I want late-game puzzle complexity validated in production scenario 10, so quality remains release-grade.","Given production scenario 10, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2120,Encounter pacing v2 story 1,SOD-EP03,"As a player/team, I want encounter pacing v2 validated in production scenario 1, so quality remains release-grade.","Given production scenario 1, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2121,Encounter pacing v2 story 2,SOD-EP03,"As a player/team, I want encounter pacing v2 validated in production scenario 2, so quality remains release-grade.","Given production scenario 2, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2122,Encounter pacing v2 story 3,SOD-EP03,"As a player/team, I want encounter pacing v2 validated in production scenario 3, so quality remains release-grade.","Given production scenario 3, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2123,Encounter pacing v2 story 4,SOD-EP03,"As a player/team, I want encounter pacing v2 validated in production scenario 4, so quality remains release-grade.","Given production scenario 4, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2124,Encounter pacing v2 story 5,SOD-EP03,"As a player/team, I want encounter pacing v2 validated in production scenario 5, so quality remains release-grade.","Given production scenario 5, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2125,Encounter pacing v2 story 6,SOD-EP03,"As a player/team, I want encounter pacing v2 validated in production scenario 6, so quality remains release-grade.","Given production scenario 6, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2126,Encounter pacing v2 story 7,SOD-EP03,"As a player/team, I want encounter pacing v2 validated in production scenario 7, so quality remains release-grade.","Given production scenario 7, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2127,Encounter pacing v2 story 8,SOD-EP03,"As a player/team, I want encounter pacing v2 validated in production scenario 8, so quality remains release-grade.","Given production scenario 8, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2128,Encounter pacing v2 story 9,SOD-EP03,"As a player/team, I want encounter pacing v2 validated in production scenario 9, so quality remains release-grade.","Given production scenario 9, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2129,Encounter pacing v2 story 10,SOD-EP03,"As a player/team, I want encounter pacing v2 validated in production scenario 10, so quality remains release-grade.","Given production scenario 10, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2130,Boss mechanic escalation story 1,SOD-EP03,"As a player/team, I want boss mechanic escalation validated in production scenario 1, so quality remains release-grade.","Given production scenario 1, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2131,Boss mechanic escalation story 2,SOD-EP03,"As a player/team, I want boss mechanic escalation validated in production scenario 2, so quality remains release-grade.","Given production scenario 2, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2132,Boss mechanic escalation story 3,SOD-EP03,"As a player/team, I want boss mechanic escalation validated in production scenario 3, so quality remains release-grade.","Given production scenario 3, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2133,Boss mechanic escalation story 4,SOD-EP03,"As a player/team, I want boss mechanic escalation validated in production scenario 4, so quality remains release-grade.","Given production scenario 4, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2134,Boss mechanic escalation story 5,SOD-EP03,"As a player/team, I want boss mechanic escalation validated in production scenario 5, so quality remains release-grade.","Given production scenario 5, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2135,Boss mechanic escalation story 6,SOD-EP03,"As a player/team, I want boss mechanic escalation validated in production scenario 6, so quality remains release-grade.","Given production scenario 6, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2136,Boss mechanic escalation story 7,SOD-EP03,"As a player/team, I want boss mechanic escalation validated in production scenario 7, so quality remains release-grade.","Given production scenario 7, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2137,Boss mechanic escalation story 8,SOD-EP03,"As a player/team, I want boss mechanic escalation validated in production scenario 8, so quality remains release-grade.","Given production scenario 8, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2138,Boss mechanic escalation story 9,SOD-EP03,"As a player/team, I want boss mechanic escalation validated in production scenario 9, so quality remains release-grade.","Given production scenario 9, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2139,Boss mechanic escalation story 10,SOD-EP03,"As a player/team, I want boss mechanic escalation validated in production scenario 10, so quality remains release-grade.","Given production scenario 10, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2140,Puzzle accessibility variants story 1,SOD-EP03,"As a player/team, I want puzzle accessibility variants validated in production scenario 1, so quality remains release-grade.","Given production scenario 1, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2141,Puzzle accessibility variants story 2,SOD-EP03,"As a player/team, I want puzzle accessibility variants validated in production scenario 2, so quality remains release-grade.","Given production scenario 2, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2142,Puzzle accessibility variants story 3,SOD-EP03,"As a player/team, I want puzzle accessibility variants validated in production scenario 3, so quality remains release-grade.","Given production scenario 3, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2143,Puzzle accessibility variants story 4,SOD-EP03,"As a player/team, I want puzzle accessibility variants validated in production scenario 4, so quality remains release-grade.","Given production scenario 4, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2144,Puzzle accessibility variants story 5,SOD-EP03,"As a player/team, I want puzzle accessibility variants validated in production scenario 5, so quality remains release-grade.","Given production scenario 5, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2145,Puzzle accessibility variants story 6,SOD-EP03,"As a player/team, I want puzzle accessibility variants validated in production scenario 6, so quality remains release-grade.","Given production scenario 6, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2146,Puzzle accessibility variants story 7,SOD-EP03,"As a player/team, I want puzzle accessibility variants validated in production scenario 7, so quality remains release-grade.","Given production scenario 7, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2147,Puzzle accessibility variants story 8,SOD-EP03,"As a player/team, I want puzzle accessibility variants validated in production scenario 8, so quality remains release-grade.","Given production scenario 8, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2148,Puzzle accessibility variants story 9,SOD-EP03,"As a player/team, I want puzzle accessibility variants validated in production scenario 9, so quality remains release-grade.","Given production scenario 9, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2149,Puzzle accessibility variants story 10,SOD-EP03,"As a player/team, I want puzzle accessibility variants validated in production scenario 10, so quality remains release-grade.","Given production scenario 10, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2150,Elite enemy behaviors story 1,SOD-EP04,"As a player/team, I want elite enemy behaviors validated in production scenario 1, so quality remains release-grade.","Given production scenario 1, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2151,Elite enemy behaviors story 2,SOD-EP04,"As a player/team, I want elite enemy behaviors validated in production scenario 2, so quality remains release-grade.","Given production scenario 2, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2152,Elite enemy behaviors story 3,SOD-EP04,"As a player/team, I want elite enemy behaviors validated in production scenario 3, so quality remains release-grade.","Given production scenario 3, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2153,Elite enemy behaviors story 4,SOD-EP04,"As a player/team, I want elite enemy behaviors validated in production scenario 4, so quality remains release-grade.","Given production scenario 4, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2154,Elite enemy behaviors story 5,SOD-EP04,"As a player/team, I want elite enemy behaviors validated in production scenario 5, so quality remains release-grade.","Given production scenario 5, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2155,Elite enemy behaviors story 6,SOD-EP04,"As a player/team, I want elite enemy behaviors validated in production scenario 6, so quality remains release-grade.","Given production scenario 6, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2156,Elite enemy behaviors story 7,SOD-EP04,"As a player/team, I want elite enemy behaviors validated in production scenario 7, so quality remains release-grade.","Given production scenario 7, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2157,Elite enemy behaviors story 8,SOD-EP04,"As a player/team, I want elite enemy behaviors validated in production scenario 8, so quality remains release-grade.","Given production scenario 8, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2158,Elite enemy behaviors story 9,SOD-EP04,"As a player/team, I want elite enemy behaviors validated in production scenario 9, so quality remains release-grade.","Given production scenario 9, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2159,Elite enemy behaviors story 10,SOD-EP04,"As a player/team, I want elite enemy behaviors validated in production scenario 10, so quality remains release-grade.","Given production scenario 10, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2160,Boss phase polish story 1,SOD-EP04,"As a player/team, I want boss phase polish validated in production scenario 1, so quality remains release-grade.","Given production scenario 1, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2161,Boss phase polish story 2,SOD-EP04,"As a player/team, I want boss phase polish validated in production scenario 2, so quality remains release-grade.","Given production scenario 2, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2162,Boss phase polish story 3,SOD-EP04,"As a player/team, I want boss phase polish validated in production scenario 3, so quality remains release-grade.","Given production scenario 3, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2163,Boss phase polish story 4,SOD-EP04,"As a player/team, I want boss phase polish validated in production scenario 4, so quality remains release-grade.","Given production scenario 4, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2164,Boss phase polish story 5,SOD-EP04,"As a player/team, I want boss phase polish validated in production scenario 5, so quality remains release-grade.","Given production scenario 5, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2165,Boss phase polish story 6,SOD-EP04,"As a player/team, I want boss phase polish validated in production scenario 6, so quality remains release-grade.","Given production scenario 6, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2166,Boss phase polish story 7,SOD-EP04,"As a player/team, I want boss phase polish validated in production scenario 7, so quality remains release-grade.","Given production scenario 7, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2167,Boss phase polish story 8,SOD-EP04,"As a player/team, I want boss phase polish validated in production scenario 8, so quality remains release-grade.","Given production scenario 8, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2168,Boss phase polish story 9,SOD-EP04,"As a player/team, I want boss phase polish validated in production scenario 9, so quality remains release-grade.","Given production scenario 9, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2169,Boss phase polish story 10,SOD-EP04,"As a player/team, I want boss phase polish validated in production scenario 10, so quality remains release-grade.","Given production scenario 10, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2170,Combat readability v2 story 1,SOD-EP04,"As a player/team, I want combat readability v2 validated in production scenario 1, so quality remains release-grade.","Given production scenario 1, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2171,Combat readability v2 story 2,SOD-EP04,"As a player/team, I want combat readability v2 validated in production scenario 2, so quality remains release-grade.","Given production scenario 2, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2172,Combat readability v2 story 3,SOD-EP04,"As a player/team, I want combat readability v2 validated in production scenario 3, so quality remains release-grade.","Given production scenario 3, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2173,Combat readability v2 story 4,SOD-EP04,"As a player/team, I want combat readability v2 validated in production scenario 4, so quality remains release-grade.","Given production scenario 4, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2174,Combat readability v2 story 5,SOD-EP04,"As a player/team, I want combat readability v2 validated in production scenario 5, so quality remains release-grade.","Given production scenario 5, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2175,Combat readability v2 story 6,SOD-EP04,"As a player/team, I want combat readability v2 validated in production scenario 6, so quality remains release-grade.","Given production scenario 6, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2176,Combat readability v2 story 7,SOD-EP04,"As a player/team, I want combat readability v2 validated in production scenario 7, so quality remains release-grade.","Given production scenario 7, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2177,Combat readability v2 story 8,SOD-EP04,"As a player/team, I want combat readability v2 validated in production scenario 8, so quality remains release-grade.","Given production scenario 8, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2178,Combat readability v2 story 9,SOD-EP04,"As a player/team, I want combat readability v2 validated in production scenario 9, so quality remains release-grade.","Given production scenario 9, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2179,Combat readability v2 story 10,SOD-EP04,"As a player/team, I want combat readability v2 validated in production scenario 10, so quality remains release-grade.","Given production scenario 10, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2180,AI tactical adaptation story 1,SOD-EP04,"As a player/team, I want ai tactical adaptation validated in production scenario 1, so quality remains release-grade.","Given production scenario 1, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2181,AI tactical adaptation story 2,SOD-EP04,"As a player/team, I want ai tactical adaptation validated in production scenario 2, so quality remains release-grade.","Given production scenario 2, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2182,AI tactical adaptation story 3,SOD-EP04,"As a player/team, I want ai tactical adaptation validated in production scenario 3, so quality remains release-grade.","Given production scenario 3, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2183,AI tactical adaptation story 4,SOD-EP04,"As a player/team, I want ai tactical adaptation validated in production scenario 4, so quality remains release-grade.","Given production scenario 4, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2184,AI tactical adaptation story 5,SOD-EP04,"As a player/team, I want ai tactical adaptation validated in production scenario 5, so quality remains release-grade.","Given production scenario 5, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2185,AI tactical adaptation story 6,SOD-EP04,"As a player/team, I want ai tactical adaptation validated in production scenario 6, so quality remains release-grade.","Given production scenario 6, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2186,AI tactical adaptation story 7,SOD-EP04,"As a player/team, I want ai tactical adaptation validated in production scenario 7, so quality remains release-grade.","Given production scenario 7, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2187,AI tactical adaptation story 8,SOD-EP04,"As a player/team, I want ai tactical adaptation validated in production scenario 8, so quality remains release-grade.","Given production scenario 8, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2188,AI tactical adaptation story 9,SOD-EP04,"As a player/team, I want ai tactical adaptation validated in production scenario 9, so quality remains release-grade.","Given production scenario 9, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2189,AI tactical adaptation story 10,SOD-EP04,"As a player/team, I want ai tactical adaptation validated in production scenario 10, so quality remains release-grade.","Given production scenario 10, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2190,Co-op finisher cinematic polish story 1,SOD-EP04,"As a player/team, I want co-op finisher cinematic polish validated in production scenario 1, so quality remains release-grade.","Given production scenario 1, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2191,Co-op finisher cinematic polish story 2,SOD-EP04,"As a player/team, I want co-op finisher cinematic polish validated in production scenario 2, so quality remains release-grade.","Given production scenario 2, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2192,Co-op finisher cinematic polish story 3,SOD-EP04,"As a player/team, I want co-op finisher cinematic polish validated in production scenario 3, so quality remains release-grade.","Given production scenario 3, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2193,Co-op finisher cinematic polish story 4,SOD-EP04,"As a player/team, I want co-op finisher cinematic polish validated in production scenario 4, so quality remains release-grade.","Given production scenario 4, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2194,Co-op finisher cinematic polish story 5,SOD-EP04,"As a player/team, I want co-op finisher cinematic polish validated in production scenario 5, so quality remains release-grade.","Given production scenario 5, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2195,Co-op finisher cinematic polish story 6,SOD-EP04,"As a player/team, I want co-op finisher cinematic polish validated in production scenario 6, so quality remains release-grade.","Given production scenario 6, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2196,Co-op finisher cinematic polish story 7,SOD-EP04,"As a player/team, I want co-op finisher cinematic polish validated in production scenario 7, so quality remains release-grade.","Given production scenario 7, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2197,Co-op finisher cinematic polish story 8,SOD-EP04,"As a player/team, I want co-op finisher cinematic polish validated in production scenario 8, so quality remains release-grade.","Given production scenario 8, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2198,Co-op finisher cinematic polish story 9,SOD-EP04,"As a player/team, I want co-op finisher cinematic polish validated in production scenario 9, so quality remains release-grade.","Given production scenario 9, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2199,Co-op finisher cinematic polish story 10,SOD-EP04,"As a player/team, I want co-op finisher cinematic polish validated in production scenario 10, so quality remains release-grade.","Given production scenario 10, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2200,Branching dialogue variants story 1,SOD-EP05,"As a player/team, I want branching dialogue variants validated in production scenario 1, so quality remains release-grade.","Given production scenario 1, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2201,Branching dialogue variants story 2,SOD-EP05,"As a player/team, I want branching dialogue variants validated in production scenario 2, so quality remains release-grade.","Given production scenario 2, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2202,Branching dialogue variants story 3,SOD-EP05,"As a player/team, I want branching dialogue variants validated in production scenario 3, so quality remains release-grade.","Given production scenario 3, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2203,Branching dialogue variants story 4,SOD-EP05,"As a player/team, I want branching dialogue variants validated in production scenario 4, so quality remains release-grade.","Given production scenario 4, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2204,Branching dialogue variants story 5,SOD-EP05,"As a player/team, I want branching dialogue variants validated in production scenario 5, so quality remains release-grade.","Given production scenario 5, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2205,Branching dialogue variants story 6,SOD-EP05,"As a player/team, I want branching dialogue variants validated in production scenario 6, so quality remains release-grade.","Given production scenario 6, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2206,Branching dialogue variants story 7,SOD-EP05,"As a player/team, I want branching dialogue variants validated in production scenario 7, so quality remains release-grade.","Given production scenario 7, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2207,Branching dialogue variants story 8,SOD-EP05,"As a player/team, I want branching dialogue variants validated in production scenario 8, so quality remains release-grade.","Given production scenario 8, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2208,Branching dialogue variants story 9,SOD-EP05,"As a player/team, I want branching dialogue variants validated in production scenario 9, so quality remains release-grade.","Given production scenario 9, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2209,Branching dialogue variants story 10,SOD-EP05,"As a player/team, I want branching dialogue variants validated in production scenario 10, so quality remains release-grade.","Given production scenario 10, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2210,Cinematic polish pass story 1,SOD-EP05,"As a player/team, I want cinematic polish pass validated in production scenario 1, so quality remains release-grade.","Given production scenario 1, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2211,Cinematic polish pass story 2,SOD-EP05,"As a player/team, I want cinematic polish pass validated in production scenario 2, so quality remains release-grade.","Given production scenario 2, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2212,Cinematic polish pass story 3,SOD-EP05,"As a player/team, I want cinematic polish pass validated in production scenario 3, so quality remains release-grade.","Given production scenario 3, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2213,Cinematic polish pass story 4,SOD-EP05,"As a player/team, I want cinematic polish pass validated in production scenario 4, so quality remains release-grade.","Given production scenario 4, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2214,Cinematic polish pass story 5,SOD-EP05,"As a player/team, I want cinematic polish pass validated in production scenario 5, so quality remains release-grade.","Given production scenario 5, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2215,Cinematic polish pass story 6,SOD-EP05,"As a player/team, I want cinematic polish pass validated in production scenario 6, so quality remains release-grade.","Given production scenario 6, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2216,Cinematic polish pass story 7,SOD-EP05,"As a player/team, I want cinematic polish pass validated in production scenario 7, so quality remains release-grade.","Given production scenario 7, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2217,Cinematic polish pass story 8,SOD-EP05,"As a player/team, I want cinematic polish pass validated in production scenario 8, so quality remains release-grade.","Given production scenario 8, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2218,Cinematic polish pass story 9,SOD-EP05,"As a player/team, I want cinematic polish pass validated in production scenario 9, so quality remains release-grade.","Given production scenario 9, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2219,Cinematic polish pass story 10,SOD-EP05,"As a player/team, I want cinematic polish pass validated in production scenario 10, so quality remains release-grade.","Given production scenario 10, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2220,Narrative localization depth story 1,SOD-EP05,"As a player/team, I want narrative localization depth validated in production scenario 1, so quality remains release-grade.","Given production scenario 1, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2221,Narrative localization depth story 2,SOD-EP05,"As a player/team, I want narrative localization depth validated in production scenario 2, so quality remains release-grade.","Given production scenario 2, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2222,Narrative localization depth story 3,SOD-EP05,"As a player/team, I want narrative localization depth validated in production scenario 3, so quality remains release-grade.","Given production scenario 3, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2223,Narrative localization depth story 4,SOD-EP05,"As a player/team, I want narrative localization depth validated in production scenario 4, so quality remains release-grade.","Given production scenario 4, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2224,Narrative localization depth story 5,SOD-EP05,"As a player/team, I want narrative localization depth validated in production scenario 5, so quality remains release-grade.","Given production scenario 5, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2225,Narrative localization depth story 6,SOD-EP05,"As a player/team, I want narrative localization depth validated in production scenario 6, so quality remains release-grade.","Given production scenario 6, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2226,Narrative localization depth story 7,SOD-EP05,"As a player/team, I want narrative localization depth validated in production scenario 7, so quality remains release-grade.","Given production scenario 7, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
